Frame,Colony,Treatment,Capped,Larvae,Eggs,Broodless,Size
1,3,A,0.125,0.175,0.15,0.55,1
2,2,A,0.4,0.1,0,0.5,1
3,1,A,0.025,0.4,0.075,0.5,1
4,3,A,0.275,0.05,0.075,0.6,1
5,2,A,0.25,0.125,0.125,0.5,1
6,1,A,0.325,0.225,0,0.45,1
7,3,A,0.2,0,0.15,0.65,1
8,2,A,0.35,0.05,0.1,0.5,1
9,1,A,0.2,0.175,0.1,0.525,1
10,6,B,0.05,0.35,0.075,0.525,1
11,5,B,0.25,0.2,0.1,0.45,1
12,4,B,0.2,0.075,0.125,0.6,1
13,6,B,0.025,0.05,0.375,0.55,1
14,5,B,0.05,0.1,0.025,0.825,1
15,4,B,0.2,0.025,0,0.775,1
16,6,B,0.025,0.3,0.225,0.45,1
17,5,B,0.15,0.2,0.025,0.625,1
18,4,B,0.05,0,0.275,0.675,1
55,7,C,0.1,0.15,0.4,0.35,1
56,9,C,0.1,0.15,0.175,0.575,1
57,8,C,0.25,0.15,0.1,0.5,1
58,8,C,0,0.225,0.3,0.475,1
59,7,C,0.2,0.05,0.225,0.525,1
60,9,C,0.575,0.075,0,0.35,1
61,7,C,0.15,0.1,0.25,0.5,1
62,9,C,0.325,0.05,0.075,0.55,1
63,8,C,0,0.3,0.3,0.4,1
64,10,D,0.575,0.1,0,0.325,1
65,12,D,0,0.275,0.225,0.5,1
66,11,D,0.25,0,0.125,0.625,1
67,12,D,0.225,0.05,0.175,0.55,1
68,11,D,0,0.125,0.375,0.5,1
69,10,D,0,0.15,0.3,0.55,1
70,11,D,0.125,0.325,0.1,0.45,1
71,10,D,0.2,0.1,0.125,0.575,1
72,12,D,0.075,0.275,0.175,0.475,1
